Country,Population,Fertility,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Cheapness,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,MaxCorporateTax,MaxPrivateTax,Happiness,Divorces,Homicide,SexualPartners,Religiosity
Kuwait,4310108,2.1,78.64,37088,,,,,0,,,,70,45,72,89,31,60,23,54,78.67,77.2,81.5,10.4,2.9,48.9,55.4,56.4,56.5,53.0,16,0,61.1,1.3,1.82,,
Kyrgyzstan,6735347,2.9,79.09,,,,,,0,,,,39,24,58,62,48,100,32,74,71.90,,,,,,,,,,10,0,58.3,1.4,2.19,,47
Laos,7633779,2.4,80.99,,,1.62,59.5,22.6,0,1.53,53.7,23.0,50,20,33,80,48,100,29,72,68.06,66.2,70.1,22.0,6.6,,,,,,35,0,51.1,,,,
Latvia,1830211,1.6,94.79,,14.69,1.80,87.9,27.1,0.5,1.68,74.5,26.4,67,75,73,88,19,56,36,40,73.28,68.6,78.2,9.2,18.4,,,,,,0,31.4,62.1,2.7,4.36,,11
Lebanon,5353930,2.1,81.7,,,1.78,88.9,28.0,0,1.63,73.4,27.5,14,21,58,68,71,46,9,76,75.05,72.8,77.3,14.9,8.3,51.9,53.4,52.6,44.6,45.2,17,25,23.9,1.6,2.49,,57
Lesotho,2330318,2.9,68.87,,,,,,,,,,48,38,12,43,89,88,22,61,53.06,,,,,,,,,,25,0,35.1,,43.56,,
Liberia,5418377,4.0,45.07,,,,,,0,,,,,,,,,,,75,60.75,,,,,,,,,,25,0,40.4,,3.26,,90
Libya,6888388,2.4,80.92,,13.74,,,,1,,,,,,,,,,,82,71.91,,,,,,,,,,24.5,0,53.3,2.5,,,
Liechtenstein,39584,1.53,101.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,22.4,,2.6,2.64,,
Lithuania,2718352,1.6,95.89,11330,,1.80,88.1,27.1,1.5,1.67,73.1,26.1,67,78,82,88,20,60,36,39,74.34,69.9,79.0,8.3,17.0,,,,,,15,42.77,67.6,2.7,4.57,,16
Luxembourg,654768,1.4,99.87,71296,,1.78,86.2,27.2,3,1.65,69.7,25.7,94,97,86,99,25,7,58,22,82.75,80.7,84.9,10.5,7.0,,,,,,28.69,45.78,72.3,2.3,0.34,,
Macao,704149,1.1,99.82,44072,,,,,,,,,89,69,100,98,48,51,56,,85.40,82.8,87.9,10.1,4.1,,,,,,12,12,,,,,
Madagascar,30325732,3.7,76.79,,,1.65,58.4,21.5,1,1.53,49.2,21.1,42,27,16,77,74,100,27,75,64.48,,,,,,,,,,20,0,40.2,,,,
Malawi,20931751,3.8,69.7,,,,,,,,,,,,,,,,,66,,,,,,,,,,,30,0,35,,1.81,,
Malaysia,34308525,1.8,87.58,7665,11.49,1.68,71.5,25.2,0,1.57,64.0,26.1,70,56,58,95,44,90,45,50,74.88,72.7,77.4,15.2,6.0,50.7,47.7,51.9,55.9,48.5,24,41.5,60.1,1.8,2.13,5.8,77
Maldives,521021,1.8,80.54,,,1.68,69.2,24.6,,1.54,62.4,26.3,,,,,,,,61,79.92,79.1,81.0,14.1,3.0,,,,,,15,15,,5.52,0.72,,
Mali,23293698,5.8,59.76,,,,,,,,,,,,,,,,,72,,,,,,,,,,,30,0,42,,,,94
Malta,535064,1.2,91.27,,,,,,,,,,83,69,91,98,75,52,55,49,82.86,,,,,52.7,53.2,44.3,48.6,48.3,35,35,63,0.7,1.59,,
Marshall Islands,41996,2.73,83.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,3.98,,
Mauritania,4862989,4.3,59.76,,,,,,,,,,,,,,,,,70,,,,,,,,,,,25,0,47.2,,2.77,,
Mauritius,1300557,1.4,86.56,7812,,1.73,73.6,24.6,,1.59,65.7,26.0,73,68,63,91,63,81,36,49,73.68,70.3,77.2,10.3,10.5,,,,,,15,15,59,1.6,2.92,,
Mexico,128455567,1.8,87.73,8845,14.92,1.70,79.3,27.5,1,1.57,70.7,28.5,48,33,45,42,82,61,61,69,70.21,66.1,74.9,14.9,9.4,,,,,,30,35,63.3,1.3,29.07,,45
Micronesia,115224,2.7,83.96,,,1.69,81.1,28.3,,1.59,79.6,31.4,,,,,,,,,70.71,,,,,,,,,,21,0,,,,,
Moldova,3435931,1.8,89.98,,,,,,1,,,,41,43,62,83,40,80,26,58,68.85,,,,,,,,,,12,36,58.2,3.3,4.10,,42
Monaco,36297,,104.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19.6,,1.7,,,
Mongolia,3447157,2.7,91.03,2241,12.77,1.70,74.7,25.8,0,1.60,67.8,26.6,56,42,62,82,44,90,34,67,70.97,66.5,75.7,21.4,6.1,,,,,,10,0,58.4,1,6.18,,
Montenegro,626408,1.7,85.78,6056,,1.83,90.4,27.0,1.5,1.70,75.3,26.2,46,52,65,86,53,77,36,54,73.82,70.8,77.0,11.4,14.8,,,,,,9,12.65,57.2,1.3,2.23,10.1,
Morocco,37840044,2.3,67.03,2567,,1.75,78.0,25.4,,1.61,68.7,26.6,53,38,48,82,81,84,31,62,74.04,71.9,76.4,17.5,6.2,50.7,48.4,47.5,48.6,44.5,31,38,49,,1.42,,91
Mozambique,33897354,4.5,72.5,,,,,,,,,,,,,,,,,75,59.33,,,,,,,,,,32,0,49.5,,3.51,,87
Myanmar,54577997,2.1,91.18,660,10.70,1.66,61.1,22.2,,1.54,54.7,23.0,22,11,30,21,50,100,20,80,65.67,62.5,69.0,17.1,9.8,,,,,,22,0,43.7,,2.26,,
Namibia,2604172,3.2,66.19,,,,,,0.5,,,,,,,,,,,51,59.27,,,,,,,,,,32,37,46.3,,17.68,,
Nauru,1278,3.4,,,,1.69,93.0,32.4,,1.58,82.2,33.1,,,,,,,,,,,,,,,,,,,25,0,,,,,
Nepal,30896590,2.0,42.99,595,,1.64,60.5,22.5,0,1.52,51.6,22.3,55,36,36,84,57,100,44,65,68.45,66.6,70.4,20.4,7.8,,,,,,30,36,53.6,,2.30,,
Netherlands,17618299,1.6,100.74,45337,15.87,1.84,87.9,26.1,2.5,1.70,73.2,25.3,80,99,83,95,21,25,57,21,81.46,79.9,83.1,10.2,9.8,,,,,,25,49.50,74,1.7,0.59,7,20
New Caledonia,292991,2.0,93.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,,,3.20,,
New Zealand,5228100,1.8,98.57,30141,13.99,1.78,88.9,28.2,2,1.65,75.9,28.0,90,100,81,97,36,9,56,15,82.21,80.5,84.0,11.5,6.8,41.0,57.2,54.1,53.9,50.5,28,39,71.2,1.7,0.74,13.2,
Nicaragua,7046310,2.3,52.69,,,,,,,,,,43,14,44,66,61,89,32,83,73.84,,,,,,,,,,30,0,62.6,0.8,7.19,,88
Niger,27202843,6.7,70.82,434,,1.69,61.1,21.4,0,1.59,56.6,22.3,16,23,12,44,53,79,25,68,61.58,60.4,62.8,45.3,8.1,,,,,,30,0,45,,4.43,,86
Nigeria,223804632,5.1,67.76,1752,14.38,1.70,65.1,22.6,0,1.58,59.7,24.0,24,23,12,44,53,54,25,75,52.68,52.3,53.1,37.1,13.1,59.3,56.2,57.3,46.2,49.5,30,24,49.8,,34.52,,88
Niue,1935,2.4,,,,1.77,98.8,31.5,,1.67,92.6,33.4,,,,,,,,,,,,,,,,,,,0,0,,,,,
North Macedonia,2085679,1.4,81.91,,13.98,,,,,,,,52,48,68,89,58,85,30,58,75.26,73.10,77.47,,,,,,,,10,18,52.5,0.8,1.20,,
North Korea,26160821,1.8,98.82,,,1.74,73.1,24.2,,1.61,61.9,24.0,,,,,,,,83,73.28,70.8,75.7,13.2,9.3,,,,,,25,20,,,,,
Northern Mariana Islands,49796,,81.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,5474360,1.5,97.13,75130,14.34,1.80,89.1,27.4,3.5,1.66,72.6,26.2,90,99,90,96,16,1,51,16,83.16,81.7,84.7,10.4,7.8,,,,,,23,46.4,73.2,1.9,0.47,12.1,19
Oman,4644384,2.5,78.7,15328,,,,,,,,,69,45,54,86,44,74,19,57,72.54,71.0,74.7,18.4,3.8,,,,,,15,0,,,0.27,,
Pakistan,240485658,3.3,80,985,12.20,1.67,64.7,23.3,1,1.54,58.9,24.7,21,26,29,63,72,100,41,71,66.10,63.8,68.6,27.5,7.2,,,,,,29,35,45.5,,3.88,,94
Palau,18058,0.85,,,,1.70,86.0,29.6,,1.59,75.4,29.7,,,,,,,,,,,,,,,,,,,0,0,,,11.17,,
Palestine,5371230,3.4,77.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,0.49,,86
Panama,4468087,2.3,79,,,,,,,,,,,,,,,,,65,,73.1,79.6,17.7,6.1,,,,,,25,27,62.6,0.7,9.39,,61
Papua New Guinea,10329931,3.1,78.49,,,,,,,,,,,,,,,,,71,,,,,,,,,,,30,0,,,9.75,,
Paraguay,6861524,2.4,84.04,,15.53,,,,1,,,,54,34,43,76,78,86,33,72,70.26,,,,,,,,,,10,10,57.4,,7.14,,56
Peru,34352719,2.1,81.44,,,,,,0.5,,,,51,42,46,77,60,72,39,67,72.38,,,,,54.9,51.0,47.9,47.8,43.0,30,30,55.3,0.5,7.91,,73
Philippines,117337368,2.7,81.64,2330,10.85,1.65,61.8,22.8,0,1.54,55.5,23.5,48,38,40,70,49,88,37,66,69.27,67.2,71.5,21.8,7.3,43.0,55.3,53.3,53.9,52.3,30,35,55.2,,6.46,,91
Poland,41026067,1.5,96.35,10505,14.29,1.80,89.0,27.4,2.5,1.65,71.5,26.1,61,65,77,93,27,76,63,46,75.60,71.7,79.7,8.8,13.8,58.0,47.2,46.5,45.3,46.8,19,45,62.6,1.7,0.73,6,30
Portugal,10247605,1.4,92.77,19253,,1.74,79.5,26.3,1,1.61,65.8,25.4,75,76,82,99,71,50,47,39,81.07,78.0,84.3,7.7,12.1,49.6,52.6,47.1,55.5,46.2,21,64,59.7,2,0.79,7,36
Puerto Rico,3260314,1.3,81.99,16583,,1.79,90.7,28.4,,1.63,76.0,28.6,,,,,,,,,80.16,75.9,84.5,5.9,8.6,47.1,60.6,56.2,52.7,48.4,20,33.34,,,21.09,,77
Qatar,2716391,1.8,80.78,58617,,1.73,85.7,28.8,0.5,1.60,77.6,30.2,82,59,59,94,61,48,9,42,79.27,78.3,80.9,9.8,1.3,,,,,,10,0,,0.7,0.37,,
Romania,19892812,1.7,86.88,7109,12.73,1.77,85.1,27.1,1.5,1.64,72.2,26.8,59,57,71,91,37,79,42,54,72.96,69.4,76.7,9.3,17.5,,,,,,16,45,65.9,1.6,1.28,,50
Russia,144444359,1.5,96.29,8241,13.21,1.76,80.3,25.9,2.5,1.64,72.2,26.7,,,,,,,,74,69.36,64.2,74.8,9.6,16.7,45.2,56.6,61.6,56.5,45.9,20,35,56.6,3.9,8.21,,16
Rwanda,14094683,3.7,69.95,,,,,,0,,,,49,48,20,81,61,94,17,47,66.07,,,,,,,,,,30,30,32.7,,2.58,,90
Saint Kitts And Nevis,47755,1.5,70.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,,,36.09,,
Saint Lucia,180251,1.4,73.68,,,1.76,91.1,29.5,,1.65,82.4,30.3,,,,,,,,45,,,,,,,,,,,30,0,,0.7,21.44,,
Saint Vincent And The Grenadines,103698,1.8,63.42,,,,,,,,,,,,,,,,,40,,,,,,,,,,,30,0,,0.4,36.54,,
Samoa,225681,3.8,83.96,,,1.73,91.8,30.5,,1.63,90.5,34.1,,,,,,,,,,,,,,,,,,,27,0,,,3.15,,
Sao Tome And Principe,231856,3.7,65.22,,,,,,,,,,,,,,,,,55,,,,,,,,,,,25,0,,,3.25,,
San Marino,33642,1.1,,,,,,,,,,,81,82,100,97,62,62,33,,,,,,,,,,,,17,35,,2.6,,,
Saudi Arabia,36947025,2.4,76.36,17468,,1.70,80.9,28.0,1,1.58,73.6,29.4,60,45,64,76,55,81,36,48,76.94,75.6,78.8,17.5,2.9,,,,,,15,0,64.6,2.1,1.27,,
Senegal,17763163,4.3,77.37,,15.89,,,,0,,,,,,,,,,,57,67.09,64.8,69.3,32.6,5.9,,,,,,25,50,48.6,,0.27,,98
Serbia,7149077,1.5,89.6,4876,14.87,1.80,86.9,26.7,0.5,1.68,72.6,25.7,51,43,69,86,51,75,33,64,72.73,70.0,75.6,9.1,20.0,52.0,56.8,47.1,45.5,44.7,15,25,61.4,1.3,1.23,10.1,34
Seychelles,107660,2.3,78.76,,,,,,,,,,,,,,,,,29,,,,,,,,,,,33,15,,1.7,12.54,,
Sierra Leone,8791092,3.8,45.07,412,,,,,,,,,,,,,,,,65,60.06,,,,,,,,,,25,0,31.4,,1.73,,
Singapore,6014723,1.0,105.89,41100,11.53,1.73,72.8,24.3,,1.61,60.2,23.2,81,89,79,100,45,45,51,17,83.44,81.1,85.9,8.6,5.8,,,,,,17,22,65.9,1.7,0.16,7.2,
Slovakia,5795199,1.6,96.32,22060,,1.81,89.5,27.4,,1.67,71.3,25.6,65,67,74,94,35,48,44,46,74.71,,,,,54.9,47.3,45.6,55.6,48.2,21,25,64.7,1.7,1.14,5.4,23
Slovenia,2119675,1.6,98.6,,,1.81,87.0,26.6,1.5,1.67,74.2,26.6,77,72,83,99,40,49,47,44,80.88,,,,,54.7,41.4,44.2,46.9,55.6,19,50,66.5,0.8,0.48,,
Solomon Islands,740424,3.9,83.96,,,,,,,,,,,,,,,,,57,,,,,,,,,,,30,0,,,3.77,,
Somalia,18143378,6.1,67.67,396,,1.70,65.3,22.5,1,1.59,60.4,23.8,,,,,,,,89,55.28,53.2,57.4,43.6,11.6,,,,,,0,0,,,,,
South Africa,60414495,2.3,68.87,5941,,1.69,71.9,25.1,1,1.58,74.1,29.5,48,54,26,40,95,81,36,59,62.34,59.5,65.0,19.8,11.4,,,,,,28,45,52.8,0.6,36.40,12.5,75
South Korea,51784059,0.9,102.35,22805,13.16,1.75,74.7,24.4,0.5,1.63,61.0,23.1,83,77,92,89,56,41,42,37,83.53,80.6,86.6,5.1,6.2,49.4,49.2,49.2,55.7,51.6,24.2,53.4,59.5,2.1,0.60,,16
South Sudan,11088796,4.3,58.61,,,,,,,,,,,,,,,,,87,,,,,,,,,,,30,0,,,14.87,,
Spain,47519628,1.3,93.9,26463,13.85,1.76,84.0,27.2,1.5,1.62,65.9,25.1,69,73,87,92,74,44,84,40,83.18,80.3,86.2,7.1,9.5,45.5,57.8,50.8,50.2,41.9,25,54,64.4,1.9,0.62,6.1,22
Sri Lanka,21893579,2.0,86.62,2442,10.89,1.67,63.1,22.5,0,1.55,57.3,23.7,37,42,60,81,57,100,12,66,76.40,73.1,79.5,14.0,7.4,,,,,,30,15,44.4,0.15,2.42,,
Sudan,48109006,4.3,78.87,1168,16.47,1.71,67.8,23.2,0,1.60,66.3,26.0,6,11,17,39,40,53,24,80,65.27,62.7,67.9,33.6,6.8,,,,,,15,0,,,5.15,,
Suriname,623236,2.3,90.29,,,,,,,,,,,,,,,,,60,,,,,,,,,,,36,38,,1.4,5.43,,
Sweden,10612086,1.7,97,49535,15.08,1.80,87.1,26.8,2.5,1.67,70.5,25.4,88,100,86,94,22,19,61,18,83.16,81.4,85.0,11.0,8.8,44.7,43.7,47.2,54.0,59.8,20.6,52,73.9,2.5,1.08,11.8,10
Switzerland,8796669,1.5,99.24,70399,14.35,1.79,85.5,26.8,2,1.64,63.9,23.8,92,99,93,99,35,1,56,18,83.85,81.9,85.9,10.3,8.2,50.2,42.2,44.5,49.1,62.7,17.92,59.7,72.4,2,0.59,11.1,9
Syria,23227014,2.7,74.41,4532,,,,,0,,,,,,,,,,,87,72.06,69.1,75.2,20.1,5.1,,,,,,22,15,65.4,1.3,0.88,,
Taiwan,23923276,1.2,106.47,,12.60,1.73,75.0,25.0,0,1.60,60.9,23.7,,,,,,,,33,,,,,,,,,,,20,40,,2.3,0.82,6.6,
Tajikistan,10143543,3.6,87.71,,,,,,,,,,49,12,53,79,48,100,32,80,71.59,,,,,,,,,,25,25,53.3,1.4,1.64,,50
Tanzania,67438106,4.8,74.95,,,,,,,,,,,,,,,,,60,,64.2,68.3,36.2,6.2,,,,,,30,30,36.9,,6.48,,93
Thailand,71801279,1.3,88.87,4260,11.45,1.71,69.8,23.8,0,1.59,63.3,25.0,53,40,69,80,46,90,46,65,78.72,74.5,83.0,9.0,7.9,,,,,,20,35,58.4,1.4,2.58,10.6,
Timor Leste,1360596,3.0,78.49,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,4.10,,
Togo,9053799,4.1,59.83,,,,,,,,,,43,29,13,73,50,85,24,69,,,,,,,,,,,27,0,41.4,1.2,,,
Tokelau,1893,2.6,,,,1.76,99.0,32.0,,1.66,92.5,33.7,,,,,,,,,,,,,,,,,,,0,0,,,,,
Tonga,107773,3.2,83.96,,,1.75,93.7,30.7,,1.66,93.1,33.9,,,,,,,,,,,,,,,,,,,25,0,,,0.97,,
Trinidad and Tobago,1534937,1.6,85.63,,,,,,0.5,,,,67,50,59,54,51,61,41,58,,,,,,,,,,,30,30,,2,30.65,,
Tunisia,12458223,2.0,79.22,,,,,,0,,,,44,46,54,80,76,99,28,60,,,,,,,,,,,30,35,45,,3.06,,78
Turkey,85816199,1.9,86.8,8840,12.99,1.76,84.0,27.2,2,1.61,75.0,28.8,31,35,60,96,62,95,43,66,76.03,73.0,79.1,14.7,6.4,58.2,45.9,42.3,50.6,41.6,25,40,46.1,1.6,2.59,14.5,68
Turkmenistan,6516100,2.6,85.86,,,,,,,,,,,,,,,,,82,,,,,,,,,,,8,0,54.7,,4.22,,
Turks And Caicos Islands,46062,1.6,84.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,5.65,,
Tuvalu,11396,3.1,,,,1.71,88.0,30.1,,1.63,84.6,31.8,,,,,,,,,,,,,,,,,,,30,0,,,18.62,,
Uganda,48582334,4.4,76.42,,,,,,0,,,,42,28,12,69,71,92,34,74,,,,,,50.8,52.2,52.5,47.8,47.7,30,0,44.3,,10.52,,86
Ukraine,36744634,1.3,90.07,2375,13.97,1.80,87.6,27.0,1.5,1.66,72.9,26.4,27,36,68,38,37,96,28,64,69.65,65.2,74.4,7.3,18.5,,,,,,18,44,50.7,2.88,6.18,,23
United Arab Emirates,9516871,1.4,82.05,38644,,1.73,84.5,28.1,,1.60,75.6,29.5,83,64,65,87,62,51,46,32,78.71,77.2,80.9,10.3,1.9,,,,,,9,0,65.7,0.7,0.46,,
United Kingdom,67736802,1.6,99.12,40698,13.13,1.78,86.7,27.4,3,1.64,72.7,27.1,73,90,77,91,6,13,60,29,80.70,78.7,82.8,10.1,9.7,50.7,43.9,45.8,46.5,52.9,25,63.25,68,1.7,1.20,9.8,10
United States,339996563,1.7,97.43,49883,13.58,1.77,90.6,29.0,3,1.63,77.1,29.0,64,83,69,67,66,11,87,31,76.33,73.5,79.3,11.0,10.4,51.6,52.9,51.0,42.5,48.6,21,51.6,68.9,2.7,4.96,10.7,53
Uruguay,3423108,1.5,87.59,,,,,,1.5,,,,76,82,70,80,78,41,39,27,75.44,,,,,,,,,,25,30,64.9,0.9,12.06,,29
Uzbekistan,35163944,2.8,89.01,,,,,,1,,,,47,23,56,81,53,100,36,67,70.86,68.3,73.4,25.9,5.0,,,,,,20,0,60.1,0.8,1.14,,29
Vanuatu,334506,3.7,93.92,,,,,,,,,,,,,,,,,52,,,,,,,,,,,0,0,,,,,
Venezuela,28838499,2.2,82.99,8025,13.33,,,,2.5,,,,,,,,,,,87,70.55,66.3,75.2,15.9,8.1,,,,,,34,34,52.1,0.7,36.69,,67
Vietnam,98858950,1.9,89.53,1446,11.47,1.68,61.2,21.7,0,1.58,54.0,21.7,67,35,50,80,52,93,38,59,73.62,69.1,78.2,15.0,7.3,,,,,,20,35,57.6,0.2,1.53,3.2,18
Yemen,34449825,3.6,62.86,,12.72,1.63,62.5,23.6,0,1.54,56.9,24.0,,,,,,,,84,63.75,60.6,67.1,30.5,6.8,,,,,,20,15,42,,6.77,,
Zambia,20569737,4.2,68.43,,15.78,,,,0,,,,44,32,11,81,68,86,25,63,61.22,58.5,63.9,34.5,7.0,,,,,,30,30,39.8,,5.37,,91
Zimbabwe,16665409,3.4,74.01,843,15.58,1.70,64.3,22.3,0,1.60,64.6,25.4,30,13,8,69,92,37,20,76,59.25,56.2,62.0,30.5,9.1,,,,,,25,45,32,,7.48,,